,ade_mean,fde_mean,ade_median,fde_median,ade_p10,fde_p10,ade_p90,fde_p90
baseline_dc,0.8235447406768799,1.6079487800598145,0.6138728857040405,1.0431852340698242,0.2730322480201721,0.3339900970458984,1.6059973239898682,3.584275722503662
small_dc,0.8817801475524902,1.759351134300232,0.6377164721488953,1.1412441730499268,0.288870096206665,0.3527907729148865,1.7403104305267334,3.9205801486968994
wide_fnl,0.7922089695930481,1.5369669198989868,0.601845383644104,1.0272202491760254,0.2579004764556885,0.3083379864692688,1.506909728050232,3.32573676109314
deep_fnl,0.8759459853172302,1.737601399421692,0.6381003856658936,1.1071940660476685,0.2863453030586242,0.3235744833946228,1.7161940336227417,3.888945817947388
wide,0.8013389110565186,1.5287089347839355,0.6197748780250549,1.0707910060882568,0.2698769569396972,0.3113695383071899,1.5332471132278442,3.274852991104126
deep,0.8414623141288757,1.6544077396392822,0.6213860511779785,1.0607341527938845,0.2621550858020782,0.3212077021598816,1.6468931436538696,3.647261142730713
wide_dc,0.8303526043891907,1.5890840291976929,0.6371318101882935,1.0757081508636477,0.2742714881896972,0.3226932883262634,1.620320200920105,3.462531805038452
deep_dc,0.829026997089386,1.591486930847168,0.6244770288467407,1.001670479774475,0.2616190016269684,0.2954872250556946,1.6212128400802612,3.5502305030822754
baseline_dc_fnl,0.8191365003585815,1.5976356267929075,0.5938386917114258,1.0066807270050049,0.2567406296730041,0.3010052442550659,1.61973237991333,3.522073984146118
small_fnl,0.8927711844444275,1.7688238620758057,0.6288645267486572,1.0224303007125854,0.2750558853149414,0.3114113211631775,1.914487361907959,4.223331451416016
small,0.960026741027832,1.926585078239441,0.6831778287887573,1.1675983667373655,0.285599410533905,0.3503426909446716,1.977081537246704,4.558275699615479
baseline_fnl,0.846210241317749,1.6715092658996582,0.6116164922714233,1.0256775617599487,0.2606930732727051,0.3017147779464721,1.7063615322113037,3.839381694793701
baseline,0.8120520710945129,1.56193745136261,0.6188767552375793,1.0421931743621826,0.2876085340976715,0.3129540681838989,1.5027952194213867,3.271404266357422
baseline_fnl_dc,0.8693767189979553,1.6783294677734375,0.6101887226104736,1.0247021913528442,0.273636907339096,0.304737240076065,1.7605023384094238,3.897614002227783
small_fnl_dc,0.8306843042373657,1.609822392463684,0.6264403462409973,1.0601518154144287,0.284048318862915,0.325342446565628,1.5950307846069336,3.459304094314575
deep_fnl_dc,0.8641662001609802,1.6966105699539185,0.6649855375289917,1.15118145942688,0.3026477098464966,0.3266260921955108,1.6056976318359375,3.5940592288970947
wide_fnl_dc,0.8547443151473999,1.66645610332489,0.6423356533050537,1.088697075843811,0.2711858749389648,0.3070687055587768,1.6840906143188477,3.714476823806762
